win,Color,First Dragon Count,First Inhibitor Count,First Blood Count,First Tower Count,Avg Baron Kills,Avg Inhibitor Kills,Avg Tower Kills,Avg Total Gold,Avg Dragon Kills
2871134245,Blue,1,0,0,0,0.0,0.0,0.0,37505.0,2.0
2871134245,Red,0,0,1,1,1.0,0.0,6.0,52073.0,1.0
2872169546,Blue,1,1,1,1,1.0,1.0,9.0,63948.0,2.0
2872169546,Red,0,0,0,0,0.0,0.0,1.0,46855.0,0.0
2872653190,Blue,1,1,1,1,0.0,1.0,8.0,53372.0,2.0
2872653190,Red,0,0,0,0,0.0,0.0,1.0,44181.0,0.0
2875906511,Blue,1,1,1,1,1.0,2.0,10.0,58129.0,2.0
2875906511,Red,0,0,0,0,0.0,0.0,2.0,43215.0,0.0
2876365803,Blue,1,1,1,1,1.0,3.0,11.0,60896.0,3.0
2876365803,Red,0,0,0,0,0.0,0.0,0.0,43327.0,0.0
2877394806,Blue,0,0,0,0,0.0,0.0,2.0,42059.0,0.0
2877394806,Red,1,1,1,1,1.0,1.0,6.0,54218.0,2.0
2878181278,Blue,1,1,1,1,1.0,2.0,9.0,57910.0,2.0
2878181278,Red,0,0,0,0,0.0,0.0,1.0,47510.0,0.0
2878673296,Blue,0,0,1,0,0.0,0.0,2.0,42205.0,0.0
2878673296,Red,1,0,0,1,1.0,0.0,6.0,53615.0,2.0
2879147696,Blue,0,0,1,0,0.0,0.0,1.0,39873.0,0.0
2879147696,Red,1,0,0,1,1.0,0.0,4.0,48785.0,3.0
2879332690,Blue,1,0,0,1,0.0,0.0,4.0,49264.0,1.0
2879332690,Red,0,1,1,0,0.0,1.0,8.0,49998.0,2.0
2879921159,Blue,0,0,0,0,0.0,0.0,2.0,43814.0,0.0
2879921159,Red,1,1,1,1,0.0,1.0,8.0,49283.0,3.0
2880074731,Blue,1,1,1,1,1.0,1.0,8.0,57577.0,2.0
2880074731,Red,0,0,0,0,0.0,0.0,1.0,43572.0,0.0
2880416811,Blue,1,1,1,1,0.0,3.0,10.0,51892.0,2.0
2880416811,Red,0,0,0,0,0.0,0.0,2.0,41693.0,0.0
2881302834,Blue,1,1,1,1,1.0,3.0,9.0,58154.0,2.0
2881302834,Red,0,0,0,0,0.0,0.0,1.0,42165.0,0.0
2881393229,Blue,1,1,0,1,1.0,2.0,10.0,61187.0,3.0
2881393229,Red,0,0,1,0,0.0,0.0,0.0,44054.0,0.0
2881433803,Blue,0,0,0,1,1.0,0.0,3.0,45483.0,0.0
2881433803,Red,1,1,1,0,0.0,2.0,9.0,54921.0,2.0
2882027809,Blue,0,0,1,0,0.0,0.0,1.0,44760.0,1.0
2882027809,Red,1,1,0,1,1.0,3.0,11.0,61139.0,2.0
2882078496,Blue,1,1,0,1,0.0,1.0,10.0,59675.0,1.0
2882078496,Red,0,0,1,0,0.0,0.0,0.0,49215.0,0.0
2882172464,Blue,0,0,1,0,0.0,0.0,2.0,48138.0,0.0
2882172464,Red,1,1,0,1,1.0,2.0,11.0,58330.0,3.0
2882454217,Blue,1,0,0,0,0.0,1.0,7.0,48553.0,2.0
2882454217,Red,0,1,1,1,0.0,1.0,8.0,52286.0,0.0
2882600556,Blue,1,1,0,1,1.0,1.0,8.0,51781.0,1.0
2882600556,Red,0,0,1,0,0.0,0.0,3.0,44170.0,2.0
2883103548,Blue,0,1,1,0,1.0,2.0,9.0,54735.0,2.0
2883103548,Red,1,0,0,1,0.0,0.0,4.0,47754.0,1.0
2883110126,Blue,1,1,0,1,1.0,2.0,9.0,59636.0,2.0
2883110126,Red,0,0,1,0,0.0,0.0,1.0,48213.0,0.0
2883324550,Blue,0,0,0,1,0.0,0.0,3.0,41392.0,0.0
2883324550,Red,1,1,1,0,0.0,1.0,8.0,49601.0,3.0
2883525237,Blue,0,1,1,1,0.0,1.0,8.0,54076.0,2.0
2883525237,Red,1,0,0,0,0.0,0.0,3.0,46209.0,1.0
2883853705,Blue,1,1,1,1,1.0,2.0,10.0,58163.0,3.0
2883853705,Red,0,0,0,0,0.0,0.0,1.0,44393.0,0.0
2885146187,Blue,0,1,1,0,0.0,1.0,4.0,47182.0,2.0
2885146187,Red,1,0,0,1,0.0,0.0,3.0,44175.0,1.0
2885270406,Blue,1,1,1,1,0.0,1.0,9.0,58351.0,3.0
2885270406,Red,0,0,0,0,0.0,0.0,2.0,47569.0,0.0
