ind,gameID,winnerTotal,loserTotal,GoldDifference,bin
0,2759024018,10650.5,2524.0,8126.5,7
0,2759024018,5977.0,2133.5,3843.5,8
0,2759024018,4232.0,2686.5,1545.5,9
0,2759132098,1541.5,1650.5,-109.0,1
0,2759132098,2995.0,2397.5,597.5,2
0,2759132098,4062.0,3374.5,687.5,3
0,2759132098,6150.0,2299.0,3851.0,4
0,2759132098,5068.5,3271.0,1797.5,5
0,2759132098,4999.5,3612.5,1387.0,6
0,2759132098,5178.0,5232.5,-54.5,7
0,2759132098,3903.5,5146.0,-1242.5,8
0,2759132098,5901.5,4856.5,1045.0,9
0,2759257697,7000.0,7000.0,0.0,1
0,2759257697,60.0,425.0,-365.0,2
0,2759257697,2463.0,2029.0,434.0,3
0,2759257697,5183.0,3489.0,1694.0,4
0,2759257697,3077.0,6020.0,-2943.0,5
0,2759257697,5687.0,2011.0,3676.0,6
0,2759257697,5730.0,3736.0,1994.0,7
0,2759257697,5869.0,5807.0,62.0,8
0,2759257697,2037.0,5663.0,-3626.0,9
0,2760780298,3630.0,3555.0,75.0,1
0,2760780298,4048.0,2791.0,1257.0,2
0,2760780298,6495.5,5614.5,881.0,3
0,2760780298,5080.0,2927.0,2153.0,4
0,2760780298,4143.0,1734.0,2409.0,5
0,2760780298,3585.0,4596.0,-1011.0,6
0,2760780298,4746.5,3760.5,986.0,7
0,2760780298,4410.5,4952.0,-541.5,8
0,2760780298,4582.0,4452.0,130.0,9
0,2760805828,7000.0,7000.0,0.0,1
0,2760805828,550.0,430.0,120.0,2
0,2760805828,3035.0,2516.0,519.0,3
0,2760805828,3564.0,4336.0,-772.0,4
0,2760805828,3188.0,7262.0,-4074.0,5
0,2760805828,5526.0,5808.0,-282.0,6
0,2760805828,2548.0,5209.0,-2661.0,7
0,2760805828,2976.0,7815.0,-4839.0,8
0,2760805828,2330.0,12205.0,-9875.0,9
0,2760983874,3625.0,3625.0,0.0,1
0,2760983874,3632.5,2944.0,688.5,2
0,2760983874,5277.0,4656.5,620.5,3
0,2760983874,5441.0,3351.5,2089.5,4
0,2760983874,3440.5,4522.5,-1082.0,5
0,2760983874,5155.0,3239.5,1915.5,6
0,2760983874,2842.0,5089.0,-2247.0,7
0,2760983874,5209.0,5648.5,-439.5,8
0,2760983874,4444.5,4189.0,255.5,9
0,2761203040,3748.0,3825.5,-77.5,1
0,2761203040,2538.5,2452.5,86.0,2
0,2761203040,5411.5,3271.0,2140.5,3
0,2761203040,7509.0,3273.5,4235.5,4
0,2761203040,4009.5,4494.0,-484.5,5
0,2761203040,3195.5,4466.5,-1271.0,6
0,2761203040,4518.0,4435.5,82.5,7
0,2761203040,3975.5,4387.5,-412.0,8
0,2761203040,3299.0,7887.0,-4588.0,9
0,2761508815,3687.5,3590.0,97.5,1
0,2761508815,4326.5,3012.0,1314.5,2
0,2761508815,6840.0,6878.0,-38.0,3
0,2761508815,9521.5,4822.5,4699.0,4
0,2761508815,2359.0,4827.0,-2468.0,5
0,2761508815,6809.5,5123.0,1686.5,6
0,2761508815,3271.5,5499.0,-2227.5,7
0,2761508815,6837.0,4764.5,2072.5,8
0,2761508815,2801.0,4470.0,-1669.0,9
0,2761535163,3505.0,3605.0,-100.0,1
0,2761535163,2805.0,2390.0,415.0,2
0,2761535163,6215.0,4269.0,1946.0,3
0,2761535163,7612.5,4843.0,2769.5,4
0,2761535163,4756.0,5133.5,-377.5,5
0,2761535163,7113.0,4891.0,2222.0,6
0,2761535163,11134.0,4841.0,6293.0,7
0,2761535163,3031.0,6324.5,-3293.5,8
0,2761535163,5798.5,3162.5,2636.0,9
0,2761551580,3605.5,3737.5,-132.0,1
0,2761551580,3620.0,3483.0,137.0,2
0,2761551580,7723.5,5256.0,2467.5,3
0,2761551580,4530.5,6243.5,-1713.0,4
0,2761551580,3338.0,4906.0,-1568.0,5
0,2761551580,4805.0,3775.5,1029.5,6
0,2761551580,6252.5,2111.5,4141.0,7
0,2761551580,3145.0,3407.5,-262.5,8
0,2761551580,3117.5,2686.5,431.0,9
0,2761581064,3526.0,3147.6666666666665,378.3333333333333,1
0,2761581064,4915.666666666667,4958.333333333333,-42.666666666666664,2
0,2761581064,4379.333333333333,3613.3333333333335,766.0,3
0,2761581064,5410.0,2433.0,2977.0,4
0,2761581064,3402.3333333333335,3594.3333333333335,-192.0,5
0,2761581064,4260.333333333333,3439.0,821.3333333333334,6
0,2761581064,6224.333333333333,3983.3333333333335,2241.0,7
0,2761581064,5399.666666666667,3985.0,1414.6666666666667,8
0,2761581064,8542.333333333334,5091.0,3451.3333333333335,9
0,2762065106,1283.0,1535.0,-252.0,1
0,2762065106,1051.0,1640.5,-589.5,2
0,2762065106,3278.5,3204.0,74.5,3
0,2762065106,3646.0,3975.5,-329.5,4
0,2762065106,2170.5,2257.0,-86.5,5
0,2762065106,4542.5,3464.5,1078.0,6
0,2762065106,3761.0,3853.0,-92.0,7
0,2762065106,4810.0,3996.0,814.0,8
0,2762065106,4069.0,5216.5,-1147.5,9
0,2762076235,1262.5,1250.0,12.5,1
0,2762076235,1278.5,1137.0,141.5,2
0,2762076235,3677.5,3221.0,456.5,3
0,2762076235,1664.5,1964.5,-300.0,4
0,2762076235,3960.0,2499.5,1460.5,5
0,2762076235,5107.5,2112.5,2995.0,6
0,2762076235,2518.0,2420.5,97.5,7
0,2762076235,3520.0,2350.5,1169.5,8
0,2762076235,2904.5,3014.5,-110.0,9
0,2762130228,970.3333333333334,968.3333333333334,2.0,1
0,2762130228,2140.0,2342.0,-202.0,2
0,2762130228,2184.0,3014.3333333333335,-830.3333333333334,3
0,2762130228,3823.3333333333335,2991.6666666666665,831.6666666666666,4
0,2762130228,4277.0,4201.666666666667,75.33333333333333,5
0,2762130228,3679.0,3058.3333333333335,620.6666666666666,6
0,2762130228,3097.6666666666665,4039.3333333333335,-941.6666666666666,7
0,2762130228,4981.0,2952.6666666666665,2028.3333333333333,8
0,2762130228,5371.666666666667,3943.0,1428.6666666666667,9
0,2762156399,1120.6666666666667,967.0,153.66666666666666,1
0,2762156399,2640.6666666666665,1967.0,673.6666666666666,2
0,2762156399,2228.3333333333335,4632.0,-2403.6666666666665,3
0,2762156399,4199.333333333333,3600.0,599.3333333333334,4
0,2762156399,3889.6666666666665,4484.333333333333,-594.6666666666666,5
0,2762156399,3286.6666666666665,3525.3333333333335,-238.66666666666666,6
0,2762156399,5141.0,3041.6666666666665,2099.3333333333335,7
0,2762156399,6076.666666666667,2815.6666666666665,3261.0,8
0,2762156399,4386.666666666667,2918.0,1468.6666666666667,9
0,2762266260,1009.6666666666666,963.0,46.666666666666664,1
0,2762266260,3203.0,2137.6666666666665,1065.3333333333333,2
0,2762266260,3262.0,3862.6666666666665,-600.6666666666666,3
0,2762266260,2185.3333333333335,3759.6666666666665,-1574.3333333333333,4
0,2762266260,3708.0,2922.6666666666665,785.3333333333334,5
0,2762266260,4673.333333333333,2722.0,1951.3333333333333,6
0,2762266260,3252.6666666666665,3238.3333333333335,14.333333333333334,7
0,2762266260,4688.666666666667,2674.0,2014.6666666666667,8
0,2762266260,4049.6666666666665,3058.3333333333335,991.3333333333334,9
0,2762372735,936.6666666666666,942.0,-5.333333333333333,1
0,2762372735,2576.0,1557.3333333333333,1018.6666666666666,2
0,2762372735,3024.3333333333335,2206.0,818.3333333333334,3
0,2762372735,2567.6666666666665,4144.666666666667,-1577.0,4
0,2762372735,1539.0,2818.6666666666665,-1279.6666666666667,5
0,2762372735,2737.6666666666665,4367.666666666667,-1630.0,6
0,2762372735,4052.6666666666665,3312.0,740.6666666666666,7
0,2762372735,3475.0,4094.6666666666665,-619.6666666666666,8
0,2762372735,3228.0,3062.3333333333335,165.66666666666666,9
0,2762425666,983.6666666666666,969.0,14.666666666666666,1
0,2762425666,2739.0,2443.6666666666665,295.3333333333333,2
0,2762425666,3183.3333333333335,2857.3333333333335,326.0,3
0,2762425666,3020.0,2249.6666666666665,770.3333333333334,4
0,2762425666,2822.6666666666665,3320.6666666666665,-498.0,5
0,2762425666,4267.666666666667,3049.6666666666665,1218.0,6
0,2762425666,2835.3333333333335,3915.6666666666665,-1080.3333333333333,7
0,2762425666,4087.0,3506.0,581.0,8
0,2762425666,2665.6666666666665,4872.0,-2206.3333333333335,9
0,2762464661,952.0,996.3333333333334,-44.333333333333336,1
0,2762464661,3236.6666666666665,2419.3333333333335,817.3333333333334,2
0,2762464661,1735.0,2635.0,-900.0,3
0,2762464661,2816.3333333333335,3937.0,-1120.6666666666667,4
0,2762464661,2415.0,2714.3333333333335,-299.3333333333333,5
0,2762464661,2366.3333333333335,3646.6666666666665,-1280.3333333333333,6
0,2762464661,2902.0,3578.3333333333335,-676.3333333333334,7
0,2762464661,3319.0,3909.0,-590.0,8
0,2762464661,4636.333333333333,3517.3333333333335,1119.0,9
0,2762513636,1295.75,1052.5,243.25,1
0,2762513636,2573.75,2883.5,-309.75,2
0,2762513636,3811.0,2765.25,1045.75,3
0,2762513636,3386.25,2763.75,622.5,4
0,2762513636,3384.0,3561.5,-177.5,5
0,2762513636,6012.75,3649.5,2363.25,6
0,2762513636,4015.75,3154.75,861.0,7
0,2762513636,3126.0,4080.25,-954.25,8
0,2762513636,6217.0,3730.0,2487.0,9
0,2762583443,953.3333333333334,1001.6666666666666,-48.333333333333336,1
0,2762583443,2795.6666666666665,2175.6666666666665,620.0,2
0,2762583443,2877.3333333333335,2699.6666666666665,177.66666666666666,3
0,2762583443,2928.6666666666665,3680.3333333333335,-751.6666666666666,4
0,2762583443,2395.6666666666665,4256.333333333333,-1860.6666666666667,5
0,2762583443,2161.0,1712.0,449.0,6
0,2762583443,3697.0,1895.6666666666667,1801.3333333333333,7
0,2762583443,2280.0,3246.6666666666665,-966.6666666666666,8
0,2762583443,2760.3333333333335,3241.3333333333335,-481.0,9
0,2762616906,1019.0,958.0,61.0,1
0,2762616906,2674.0,2220.0,454.0,2
0,2762616906,2116.6666666666665,2675.3333333333335,-558.6666666666666,3
0,2762616906,3734.3333333333335,3758.0,-23.666666666666668,4
0,2762616906,3479.6666666666665,3322.0,157.66666666666666,5
0,2762616906,5290.0,2343.6666666666665,2946.3333333333335,6
0,2762616906,2263.0,4653.666666666667,-2390.6666666666665,7
0,2762616906,3691.3333333333335,3391.3333333333335,300.0,8
0,2762616906,4492.666666666667,2078.0,2414.6666666666665,9
0,2762647830,1250.0,1250.0,0.0,1
0,2762647830,1103.5,1220.5,-117.0,2
0,2762647830,3059.0,2649.5,409.5,3
0,2762647830,3023.0,1752.5,1270.5,4
0,2762647830,3349.5,2956.0,393.5,5
0,2762647830,5678.5,2108.5,3570.0,6
0,2762647830,3714.5,3954.0,-239.5,7
0,2762647830,2573.0,4937.0,-2364.0,8
0,2762647830,6269.5,3109.5,3160.0,9
0,2762677429,1250.0,1500.0,-250.0,1
